Title: ECSA-NtlokyJyrpfHz7uKUC4fjKzXX6QOMh9P Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    NtlokyJyrpfHz7uKUC4fjKzXX6QOMh9P.20W


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              0.80    1.40         11.40     8.60    22.00   2.20       2.60       2.00   9.80  2.40        10.00            3.20           1.80        3.60       1.00           2.20        1.60     1.40         3.40
190              1.20    1.40         11.40     7.60    21.20   2.60       2.00       4.40  10.00  3.60         9.60            1.80           3.60        3.20       0.60           4.20        0.80     1.20         3.40
195              2.00    0.80         11.00    10.40    21.20   2.80       3.60       2.60   9.00  2.80        10.60            3.40           3.80        3.60       0.60           2.40        2.20     1.80         3.80
200              1.60    0.40         13.20     9.00    22.60   3.60       2.60       3.60  12.00  3.00        10.40            3.00           2.20        4.00       1.40           3.40        0.00     0.20         4.20
205              0.40    1.40          9.60     9.00    23.20   2.20       2.80       3.80  10.40  4.40        12.60            2.00           3.80        4.00       1.60           3.80        0.80     0.80         4.20
210              0.60    1.20         10.80     8.80    22.20   2.40       1.60       3.20   9.60  2.60        12.00            1.80           3.20        4.80       0.80           2.40        1.00     1.40         5.40
215              1.20    1.60         10.20     9.20    20.20   1.60       2.60       1.60   6.80  3.00        10.20            2.60           3.20        4.40       2.40           3.00        2.20     1.60         4.20
220              2.00    1.40          9.60    10.80    21.60   1.80       2.80       2.40   9.00  2.20        11.60            3.00           2.40        4.80       0.80           2.20        1.40     1.60         4.80
225              1.40    1.40         11.60     8.60    22.00   4.20       2.60       2.60  11.00  2.20         9.80            3.00           2.20        4.00       1.40           2.40        1.60     1.60         2.80
230              1.40    0.80         14.60     9.80    23.80   2.60       3.80       2.80  12.80  2.60        10.40            3.20           2.20        3.40       0.20           2.80        1.00     0.80         3.60
235              1.20    1.00         10.40     8.20    22.00   2.40       2.80       4.40   9.60  4.40        11.00            3.20           4.60        3.60       1.00           4.80        0.60     0.60         4.00
240              0.60    0.80         12.60     9.80    24.60   2.40       2.00       2.60  11.60  2.80        11.80            1.80           3.20        4.40       1.00           2.60        0.80     1.00         5.20
245              0.80    0.80         10.20     8.60    20.80   2.80       2.20       3.60   8.00  3.60        11.40            2.40           3.20        4.00       1.80           3.60        1.40     1.20         3.80
250              1.40    1.60         11.00     9.00    23.40   2.80       3.00       2.80  11.20  2.80        11.80            2.80           2.40        5.60       1.20           2.80        1.00     1.20         5.00
255              1.00    1.40         12.20     7.40    22.80   3.20       2.00       3.20  11.40  2.60         9.20            1.60           3.00        3.40       0.80           2.40        1.00     1.20         4.00
260              0.80    0.80          8.80     9.60    20.00   3.00       1.80       3.20   8.20  3.60        11.40            2.60           3.60        4.00       0.80           3.20        1.00     1.20         3.80
265              1.60    1.40         12.20    10.20    22.80   3.00       3.80       2.40   9.80  2.40        10.20            3.20           2.40        5.20       1.80           3.00        1.60     1.20         4.20
270              0.80    1.20         11.80     9.00    23.40   2.60       2.00       3.00  11.40  2.60        11.80            2.40           2.60        4.00       2.20           2.80        1.20     1.20         5.00
275              1.80    1.80         11.00     9.80    22.20   2.40       3.20       2.60   8.40  3.60        11.40            2.80           3.20        4.60       1.20           3.00        1.20     1.20         3.60
280              1.00    1.80         11.80     9.00    21.00   3.20       2.40       3.00  10.20  2.80        10.60            2.20           3.00        4.00       1.80           2.80        1.80     1.80         4.60
285              1.80    1.60         11.00    11.20    25.20   2.20       2.60       3.00   8.80  2.60        12.40            3.20           3.00        4.60       1.00           2.80        1.60     2.20         4.60
290              1.20    1.40         10.80     9.40    21.40   3.20       3.20       2.40  10.40  3.40        10.00            3.00           3.20        4.00       1.00           2.80        1.60     1.40         3.80
295              2.00    1.00         12.80    10.60    22.40   1.40       2.80       3.40  11.00  2.00        12.60            3.00           2.20        4.60       1.60           2.80        1.40     0.80         3.80
300              1.40    1.00         11.20     9.80    24.80   2.60       3.60       3.60   9.40  4.40        11.80            2.80           3.60        3.20       1.00           4.20        1.20     1.20         5.20
305              1.00    1.60         10.60    10.60    23.60   2.40       2.20       3.60  11.20  3.20        13.00            2.80           3.00        5.60       1.20           3.20        1.20     1.80         4.60
310              1.60    1.00         13.00     8.20    22.40   3.40       2.40       2.80  11.80  2.80        10.40            2.40           3.40        3.80       0.80           2.80        1.20     0.60         3.40
315              0.80    1.00         10.60    10.40    24.40   1.80       2.20       3.80   8.60  2.60        12.20            1.80           3.20        5.00       2.00           4.00        0.80     1.00         5.60
320              1.40    1.60         11.60     8.60    21.00   1.60       1.60       4.00  10.00  4.80        10.00            2.00           4.80        4.20       1.00           3.60        1.60     1.80         4.80
325              1.60    1.60         11.80     9.40    24.40   3.60       2.00       3.00  10.00  2.60        13.20            2.20           2.60        5.00       1.00           3.00        1.60     1.40         5.40
330              0.60    1.20         10.80    10.80    23.80   2.60       3.00       3.00  10.20  3.60        12.40            2.60           3.20        5.40       2.20           3.20        1.20     1.20         4.20
335              1.60    1.40         13.60    10.40    25.40   2.60       2.60       3.20  11.40  3.20        11.40            3.40           3.20        5.60       1.40           3.40        1.40     1.40         4.40
340              1.60    2.00         10.80     9.60    23.20   3.60       3.40       3.00   9.40  3.60        10.80            2.60           3.60        4.00       1.40           3.00        1.60     1.60         4.20
345              1.60    0.80         11.80    11.40    21.20   2.00       2.60       2.60   9.80  2.40        12.80            2.80           2.40        3.40       1.80           2.40        1.40     1.40         6.00
350              0.80    1.80         10.40    10.00    25.00   2.60       3.00       3.60   8.60  3.40        12.20            2.60           3.20        6.20       1.60           3.20        1.60     1.60         4.40
355              1.40    1.40         11.40    10.40    21.40   3.20       3.00       1.40  10.80  1.80        12.40            2.80           2.20        3.20       1.00           2.00        1.20     1.40         3.60
360              2.20    1.60         12.40     7.80    22.20   3.40       3.20       3.00  11.20  2.00         8.00            3.80           2.00        4.60       1.20           2.60        1.80     1.40         3.20
365              1.20    0.60         10.60     8.80    21.00   2.80       2.80       3.20   9.20  3.20        11.20            2.80           3.20        2.60       0.60           3.20        1.00     1.40         3.40
370              1.20    0.80         13.00     8.80    22.60   3.20       3.20       3.00  12.40  3.40         9.40            3.20           2.80        2.80       0.80           2.60        0.80     0.40         3.40
375              1.20    1.00         10.00    10.00    22.80   2.60       2.00       3.40   9.40  3.60        12.80            1.80           4.20        4.60       2.00           4.00        0.80     1.00         5.00
380              0.80    1.20         11.80    10.00    23.60   2.40       1.60       3.80  10.00  3.80        11.40            1.60           3.60        5.80       2.00           3.60        1.00     1.20         6.80
385              0.80    2.40         10.80     9.40    22.20   2.00       2.20       3.20   8.00  3.60        11.80            2.20           3.00        4.80       1.60           3.40        2.60     2.40         4.40
390              1.40    1.60          9.60     9.00    22.20   2.20       2.60       2.60   9.00  1.40        11.40            2.40           2.40        5.40       1.40           2.40        1.20     1.20         4.60
395              2.20    1.40         10.60    10.80    20.40   2.20       2.00       1.80   8.40  3.20        11.20            2.60           3.00        3.80       1.00           2.20        1.20     1.20         3.40
400              1.60    1.40         10.80    10.80    23.40   2.00       4.40       3.20   9.60  2.80        11.60            4.00           3.00        4.20       2.20           3.20        2.00     2.20         4.80
405              1.80    1.80         10.40    10.80    22.20   1.80       2.00       2.80   9.40  3.00        12.00            2.20           2.00        4.60       0.60           2.60        1.00     1.20         4.00
410              1.20    1.00         11.80     9.80    23.00   3.80       3.60       3.00  11.00  2.40        11.80            3.20           3.20        4.00       1.00           3.00        1.80     1.60         4.00
415              1.60    1.00         13.40     7.80    21.40   2.60       2.20       3.40  12.60  3.20         9.00            3.00           3.00        4.00       1.00           3.00        0.80     0.60         2.40
420              1.20    0.80         11.20     9.20    23.40   2.80       2.60       3.40  10.00  4.20        11.80            2.40           4.00        2.80       0.80           3.80        1.20     1.40         4.60
425              0.80    1.00         11.20     8.60    22.60   2.40       2.20       3.60   8.80  3.00        10.80            1.40           3.20        4.20       1.60           3.60        0.80     0.80         5.20
430              1.00    1.20         10.80     8.80    22.40   2.80       2.20       3.00  11.00  3.00        11.00            2.80           2.80        5.60       1.80           2.80        0.60     0.60         5.40
435              0.40    1.80         10.60     9.00    22.60   2.40       1.80       3.00  10.40  3.20        11.80            1.20           3.20        4.20       0.60           3.00        1.40     1.40         4.00
440              1.40    1.00         11.80     8.80    21.60   2.60       2.40       3.40   9.60  2.00         9.20            3.20           2.20        4.60       2.00           3.40        2.40     2.00         4.00
445              2.20    1.60          9.80    10.40    21.80   1.60       2.60       2.20   7.80  4.00        12.40            2.80           4.20        4.00       0.40           2.60        1.00     1.40         4.20
450              1.20    1.00         11.00     9.80    22.00   3.60       3.60       2.80  11.00  2.20        12.60            3.00           1.80        4.80       2.00           2.60        1.00     0.80         4.00
455              1.40    1.80         12.00    11.20    23.40   2.40       2.80       2.80  10.40  2.80         9.80            2.80           3.20        4.00       1.20           3.20        1.60     1.80         5.20
460              1.20    1.40         13.20     8.40    23.60   3.00       1.80       3.80  10.60  3.40        11.00            2.40           3.20        4.00       1.00           2.80        1.40     1.20         3.40
465              1.20    1.20          9.60     9.80    21.40   2.80       3.20       2.80   8.80  3.80        12.00            3.00           4.00        4.80       1.20           3.60        1.40     1.40         4.40
470              1.00    0.60         12.40     9.60    23.60   4.00       2.40       1.60  11.00  1.60        11.80            1.60           1.80        4.60       1.80           1.20        1.20     1.00         4.00
475              1.80    1.40         10.60     8.60    21.80   2.20       4.00       3.00   9.20  3.20        10.00            4.20           2.60        4.40       1.80           3.20        1.00     1.00         5.00
480              1.20    2.40         12.60    10.00    22.80   2.60       2.20       3.20  11.40  2.60        10.80            2.60           3.00        4.20       1.00           3.00        1.60     2.20         3.20
485              1.80    1.00         12.00    10.80    23.60   3.60       2.40       3.20   9.80  3.00        12.60            2.80           2.60        3.40       1.00           3.60        2.00     1.60         4.20
490              1.20    0.40         11.80     9.60    23.00   3.00       3.20       2.60  11.20  2.80        10.80            2.60           2.60        4.20       1.40           2.40        0.40     0.20         4.80
495              1.00    1.60         10.80     7.60    20.40   2.40       1.80       3.40   8.80  3.80        10.00            1.80           4.20        3.60       1.60           3.60        1.60     1.60         4.40
500              1.00    1.60          9.00     9.80    23.00   2.00       2.80       3.20   7.40  2.60        12.40            2.80           2.60        5.00       1.60           3.20        1.20     1.60         4.60
505              2.00    1.40          9.60    11.80    20.80   2.20       1.20       2.40   9.00  2.80        12.60            1.60           3.00        5.00       2.60           2.60        1.80     1.60         6.00
510              1.20    2.80         10.60     9.20    23.60   2.00       3.40       3.20   9.00  2.60        10.40            3.40           2.60        5.80       1.20           1.80        1.40     2.00         3.80
515              1.40    1.20          9.80    10.00    19.20   2.00       2.20       2.60   8.80  2.60        10.40            2.40           2.60        3.40       1.20           3.20        2.40     1.60         4.00
520              1.80    1.60         13.00     9.60    23.20   2.40       2.60       3.00  10.20  2.60        11.80            2.00           2.40        4.40       1.00           2.60        1.40     1.60         3.60
525              1.20    1.00         10.20    11.20    23.00   2.00       3.00       3.80   8.80  4.60        12.20            2.80           5.00        3.40       1.40           4.40        1.20     1.20         4.80
530              2.20    1.60         10.40     9.80    23.20   2.20       2.40       2.80  10.20  2.60        12.60            2.80           2.80        5.60       1.60           2.60        0.60     1.20         4.80
535              0.80    1.20         13.20     8.80    22.40   2.20       2.40       3.00  10.40  3.00         9.40            2.00           2.20        4.40       0.80           3.40        2.00     1.40         3.40
540              2.00    1.00         10.20     9.60    21.40   3.00       2.60       3.00   8.80  3.40        11.60            3.00           3.60        3.00       1.20           2.80        1.20     1.20         5.20
545              1.00    1.40         12.80    10.00    23.80   2.60       2.80       3.00  11.40  3.00        12.00            2.60           2.80        5.00       1.00           3.20        1.20     1.00         4.20
550              1.40    0.80         10.00     9.20    23.20   3.40       2.80       2.80   8.80  3.00        12.00            3.00           3.00        5.00       1.80           2.80        1.20     1.40         5.00
555              1.20    1.40         12.40    11.00    22.60   2.80       2.80       3.00  12.80  2.20        10.40            2.60           2.40        4.40       1.60           2.80        0.80     0.60         4.00
560              0.80    2.40         13.00     7.80    23.40   3.00       2.40       4.20  10.40  4.40        10.40            2.40           4.00        3.40       0.60           4.00        2.40     2.40         3.40
565              1.40    0.20         11.60    10.00    23.80   3.00       1.80       2.40  10.60  3.20        12.80            2.40           3.80        4.40       1.00           3.00        0.80     1.20         4.80
570              1.60    0.60          9.00    10.00    21.60   3.00       4.20       2.20   9.20  2.20        12.20            3.60           1.80        5.20       2.40           2.40        0.40     0.00         5.00
575              0.60    2.60         13.40     8.80    23.40   2.60       1.40       3.80  11.80  2.40         9.60            1.60           3.00        5.40       1.60           2.40        2.00     2.60         3.60
580              1.40    2.00         11.40     8.80    23.60   2.00       3.00       4.00   7.40  4.20        10.60            2.80           4.00        3.60       1.40           4.40        2.00     1.80         4.60
585              2.80    1.20          8.00    14.60    20.80   1.00       2.20       2.40   8.00  3.80        14.80            1.80           3.60        4.00       1.20           3.40        1.60     1.60         6.00
590              1.20    1.00         10.80    10.40    23.00   3.20       2.20       2.80   9.60  2.00        12.20            2.40           2.00        6.00       2.60           2.40        1.60     1.20         5.20
595              1.40    2.80         13.20     7.20    24.00   2.60       2.40       3.80  11.20  3.40         9.80            2.60           3.40        5.00       0.40           3.60        1.20     1.80         2.80
600              1.20    0.60         10.80    10.40    22.80   2.20       2.60       3.40   8.80  4.20        12.00            2.60           4.00        3.20       1.20           3.60        2.20     1.80         5.80
605              2.00    0.80         11.00    11.80    23.40   2.40       2.80       2.80  10.60  2.60        13.80            3.40           2.40        5.60       1.80           2.80        0.40     0.40         4.60
610              1.20    1.80         13.20     8.80    22.80   4.40       3.40       2.20  11.40  1.60        10.00            3.20           2.00        4.40       1.80           2.20        1.60     1.80         4.40
615              1.20    1.60          9.80    10.80    23.60   1.40       3.80       3.00   9.20  3.40        12.20            3.20           3.00        3.80       0.80           3.00        1.20     1.20         3.40
620              1.80    1.40         14.80     9.80    23.40   3.40       3.00       2.80  11.40  2.60        11.40            3.40           3.40        3.80       1.00           2.60        2.20     2.00         3.80
625              1.40    0.80         11.20     9.80    24.00   4.00       3.00       3.00  11.00  3.00        10.80            3.40           2.80        3.00       1.40           3.00        0.40     0.40         3.80
630              1.00    1.20         11.20     8.80    22.40   3.20       2.40       2.60  10.80  2.80        10.40            2.20           1.80        4.40       1.00           2.60        1.40     1.60         4.20
635              0.60    1.20         12.00     9.40    21.40   2.00       3.60       3.00   9.40  3.40        11.00            3.00           3.60        3.80       1.00           3.40        1.60     1.40         4.20
640              1.80    1.00         11.40     9.20    25.60   2.80       2.60       3.60  11.20  3.20        12.40            3.00           3.60        4.20       1.20           3.20        0.40     0.80         4.20
645              0.60    0.80         12.00     9.40    20.80   3.40       2.40       2.80  11.60  2.80        10.00            2.20           2.20        5.00       2.00           3.00        1.00     0.60         5.20
650              1.00    2.40         12.00     7.80    24.20   3.80       1.40       3.00   9.80  3.80        10.40            1.40           4.00        5.20       1.20           3.60        1.80     1.80         3.40
655              1.80    1.20         10.40    12.00    24.80   1.80       3.00       4.20   8.40  3.60        13.60            3.00           3.60        4.60       1.00           4.00        1.40     1.40         4.80
660              1.60    1.20         11.00    10.40    20.20   1.60       2.80       2.20  10.60  3.00        12.40            2.60           3.40        3.20       1.80           2.40        1.40     1.60         5.60
665              1.20    1.80          9.00     8.40    21.20   2.60       1.40       2.80   7.40  2.40        10.20            1.80           2.40        6.20       2.60           2.60        1.00     1.40         4.80
670              1.40    1.60         11.40    10.40    22.40   1.80       3.00       3.00   8.60  2.60        11.00            3.00           2.80        3.80       0.80           2.40        2.40     2.00         4.60
675              1.60    1.80         11.80    10.80    22.80   2.00       2.00       4.00  10.20  4.00        12.00            1.60           3.60        4.60       2.00           4.20        2.00     1.80         4.80
680              1.80    1.20          9.20     9.80    22.60   2.00       2.40       2.80   8.40  2.60        12.00            2.80           2.80        5.20       0.80           3.00        1.00     1.20         4.40
685              1.80    1.40         11.40    10.00    20.60   1.80       2.60       1.60   9.20  2.20        12.00            2.40           2.60        4.40       1.80           1.60        1.80     1.60         4.60
690              1.40    1.60         10.80     8.40    21.20   2.60       2.00       4.00   9.80  3.00         9.40            2.20           2.60        3.60       1.20           3.60        0.80     0.80         3.20
695              1.00    1.40          8.80     8.60    21.20   1.80       2.20       3.60   7.40  4.20        10.20            2.20           4.40        3.60       0.80           4.20        1.80     2.20         4.20
700              1.40    0.80         11.80    11.80    21.60   2.80       3.20       1.20  10.20  1.60        14.00            2.60           2.20        6.00       1.60           1.00        1.40     1.00         5.20
705              1.60    1.60         11.60     9.40    23.40   2.40       3.60       3.20  12.00  2.20        10.80            4.00           1.80        3.80       1.00           2.40        1.00     1.00         3.20
710              1.40    1.20         12.80     8.40    23.20   2.40       3.20       5.00   9.60  4.60         9.60            3.20           4.00        2.20       0.80           5.60        1.60     1.40         3.40
715              1.00    0.40         11.60    10.00    24.20   1.40       1.20       3.00  11.40  4.00        12.20            1.20           4.60        5.00       0.80           3.00        0.60     0.80         4.40
720              1.20    0.60         10.80     7.80    21.20   3.00       2.60       3.60  10.60  3.60        10.80            2.80           3.20        4.60       1.40           3.80        0.80     0.60         6.00
725              0.40    2.00         10.40     8.40    22.80   2.20       2.00       4.20   9.80  3.40        12.20            1.40           3.80        5.20       0.80           3.00        0.80     1.00         4.00
