"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"764","0.00000","1791","1785","15232","12986","8929","1518","3525","4095","13444","4093","15288","3530","4093","5884","1789","4095","1796","1797","5885"
"765","0.10000","0","0","0","0","2547","225","0","0","0","0","0","0","0","0","0","0","0","0","0"
"766","0.20000","0","0","0","0","1145","112","0","0","0","0","0","0","0","0","0","0","0","0","0"
"767","0.30000","0","0","0","0","702","99","0","0","0","0","0","0","0","0","0","0","0","0","0"
"768","0.40000","0","0","0","0","476","67","0","0","0","0","0","0","0","0","0","0","0","0","0"
"769","0.50000","0","0","0","0","342","65","0","0","0","0","0","0","0","0","0","0","0","0","0"
"770","0.60000","0","0","0","0","273","57","0","0","0","0","0","0","0","0","0","0","0","0","0"
"771","0.70000","0","0","0","0","238","63","0","0","0","0","0","0","0","0","0","0","0","0","0"
"772","0.80000","0","0","0","0","193","26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"773","0.90000","0","0","0","0","202","50","0","0","0","0","0","0","0","0","0","0","0","0","0"
"774","1.00000","0","0","0","0","143","44","0","0","0","0","0","0","0","0","0","0","0","0","0"
"775","1.10000","0","0","0","0","134","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"776","1.20000","0","0","0","0","126","48","0","0","0","0","0","0","0","0","0","0","0","0","0"
"777","1.30000","0","0","0","0","141","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"778","1.40000","0","0","0","0","144","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"779","1.50000","0","0","0","0","123","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"780","1.60000","0","0","0","0","103","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"781","1.70000","0","0","0","0","149","43","0","0","0","0","0","0","0","0","0","0","0","0","0"
"782","1.80000","0","0","0","0","119","30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"783","1.90000","0","0","0","0","144","34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"784","2.00000","0","0","0","0","125","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"785","2.10000","0","0","0","0","120","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"786","2.20000","0","0","0","0","127","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"787","2.30000","0","0","0","0","110","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"788","2.40000","0","0","0","0","138","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"789","2.50000","0","0","0","0","133","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"790","2.60000","0","0","0","0","127","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"791","2.70000","0","0","0","0","141","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"792","2.80000","0","0","0","0","122","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"793","2.90000","0","0","0","0","146","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"794","3.00000","0","0","0","0","165","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"795","3.10000","0","0","0","0","131","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"796","3.20000","0","0","0","0","153","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"797","3.30000","0","0","0","0","151","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"798","3.40000","0","0","0","0","145","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"799","3.50000","0","0","0","0","166","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"800","3.60000","0","0","0","0","166","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"801","3.70000","0","0","0","0","149","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"802","3.80000","0","0","0","0","149","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"803","3.90000","0","0","0","0","166","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"804","4.00000","0","0","0","0","139","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"805","4.10000","0","0","0","0","166","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"806","4.20000","0","0","0","0","151","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"807","4.30000","0","0","0","0","137","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"808","4.40000","0","0","0","0","140","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"809","4.50000","0","0","0","0","152","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"810","4.60000","0","0","0","0","165","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"811","4.70000","0","0","0","0","161","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"812","4.80000","0","0","0","0","149","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"813","4.90000","0","0","0","0","132","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"814","5.00000","0","0","0","0","147","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"815","5.10000","0","0","0","0","171","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"816","5.20000","0","0","0","0","141","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"817","5.30000","0","0","0","0","146","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
