Title: ECSA-AnXlR8fLjpDf2bwHGWAyaMSMCPPPZPqh Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    AnXlR8fLjpDf2bwHGWAyaMSMCPPPZPqh.14N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue  home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              0.40    0.60          5.40     5.00    11.80   1.00       1.80       1.20  5.40  2.20         7.80            1.60           2.40        2.40       0.40           1.80        0.60     0.80         2.80
190              0.20    0.60          4.60     5.80    11.60   1.40       0.80       1.40  4.60  0.80         6.40            0.60           0.60        3.00       1.20           1.40        0.60     0.60         2.60
195              0.80    0.80          5.00     4.40    10.00   1.20       1.80       0.80  4.40  1.00         5.00            1.80           1.20        2.40       1.60           0.40        0.40     0.40         3.00
200              0.40    2.00          6.20     4.60    12.20   1.00       1.40       1.80  4.60  1.40         4.20            1.60           1.20        2.40       0.20           2.00        1.40     1.60         1.00
205              1.60    0.00          7.00     6.40    12.20   1.60       1.60       1.40  5.40  1.60         7.20            1.80           1.60        1.20       0.00           1.40        1.40     1.00         2.00
210              1.20    0.20          4.60     5.20    10.20   1.40       2.00       1.20  5.00  1.20         5.20            2.20           1.40        1.60       0.80           1.20        0.20     0.20         2.00
215              0.40    0.60          6.80     4.80    12.60   1.20       1.80       1.80  6.00  1.80         6.00            1.20           1.20        2.20       0.60           1.40        0.20     0.40         1.60
220              0.40    0.60          6.40     3.80    12.40   1.80       1.00       1.60  6.60  1.60         5.80            1.20           1.80        2.20       0.20           2.00        0.80     0.80         2.00
225              0.40    0.20          6.40     4.80    10.80   1.00       1.20       2.00  5.20  1.60         5.60            1.40           1.80        1.60       0.40           1.80        0.40     0.20         2.80
230              0.60    0.80          5.00     5.00    12.60   1.20       1.20       2.00  5.20  2.00         6.40            1.00           2.20        3.20       1.00           1.80        0.00     0.20         2.40
235              0.00    1.00          6.20     3.80    11.40   0.60       0.40       1.20  5.60  1.60         5.00            0.40           1.20        2.40       0.60           1.60        1.00     1.00         2.60
240              1.00    0.40          6.00     4.80    10.80   0.80       1.20       2.80  3.80  1.80         6.00            1.40           1.80        2.60       0.80           2.40        1.00     1.00         2.20
245              1.20    0.80          6.20     5.20    12.80   1.80       1.60       1.20  5.60  2.60         6.00            1.80           1.60        2.00       0.40           1.60        0.60     0.40         2.40
250              0.60    0.20          6.40     5.40    12.40   1.80       1.60       1.40  6.40  0.80         7.00            1.60           2.20        2.00       0.20           1.00        0.40     0.40         1.60
255              0.20    0.40          4.80     3.40    10.80   1.80       1.80       1.40  5.60  1.40         4.00            1.40           1.40        2.40       0.60           1.40        0.20     0.40         2.20
260              0.00    0.80          6.80     4.40    11.40   1.40       0.80       1.60  5.80  1.40         5.40            0.60           1.00        2.00       0.40           1.80        0.40     0.60         2.00
265              0.40    0.40          6.80     4.00    12.40   1.80       1.20       1.80  5.80  2.20         4.00            1.80           2.60        1.20       0.20           2.00        1.00     0.60         1.60
270              1.00    0.00          4.00     5.00     8.80   0.60       1.20       1.80  3.20  2.00         6.80            0.80           1.80        2.40       1.60           2.00        0.20     0.20         3.20
275              0.40    0.80          5.40     4.40    11.60   1.40       0.80       1.20  5.80  1.00         6.40            0.60           0.80        3.40       0.60           1.00        0.20     0.40         2.80
280              0.20    1.00          6.00     3.20    11.60   1.40       0.40       1.80  4.40  2.20         3.60            0.40           2.40        1.60       0.60           2.00        1.20     1.40         2.20
285              0.80    0.80          4.00     5.80    10.40   0.60       1.40       1.80  3.20  1.60         6.20            1.40           1.80        3.20       1.00           1.80        0.40     0.40         2.20
290              0.80    1.00          5.20     6.20    11.80   1.20       0.80       1.80  4.40  1.40         7.20            0.80           1.40        1.80       1.00           1.20        1.60     1.20         3.60
295              1.40    1.00          5.00     5.20    10.40   1.00       1.80       0.60  4.40  1.20         6.20            1.80           1.20        3.20       1.00           1.00        0.80     1.00         2.00
300              0.80    0.60          6.20     5.60    11.20   1.40       1.20       1.00  4.20  1.00         5.60            1.60           1.00        1.60       0.80           1.00        0.40     0.20         1.60
305              0.60    1.60          6.20     5.00    12.00   1.40       1.80       2.20  5.40  1.40         5.20            1.40           1.00        2.40       0.40           1.60        1.60     1.60         2.00
310              0.80    0.40          5.20     5.60    11.40   1.40       1.40       1.20  5.00  1.80         6.00            1.40           1.80        2.40       1.00           1.60        0.60     0.80         1.60
315              1.20    0.40          5.00     4.80    11.00   0.80       1.60       1.00  4.40  1.40         6.00            1.80           1.20        1.40       0.20           1.40        0.40     0.20         2.40
320              0.60    0.60          6.00     4.80    10.40   1.60       1.40       1.80  6.00  1.20         5.60            1.40           1.60        2.20       0.60           1.60        0.60     0.80         2.40
325              0.40    0.40          5.00     3.20    11.80   1.40       1.80       0.60  4.00  0.80         5.00            1.80           0.80        1.60       0.40           0.60        0.40     0.40         1.20
330              0.40    0.40          7.00     5.00    10.80   1.00       0.80       2.00  6.80  1.60         4.80            1.00           1.40        2.00       0.80           1.80        0.40     0.20         2.20
335              0.80    0.40          4.60     4.20    10.00   0.40       1.00       2.40  3.80  2.80         6.00            1.00           2.80        2.20       0.40           2.60        0.40     0.60         1.80
340              0.20    0.80          5.00     4.60    11.80   1.40       1.00       1.40  4.60  1.60         6.00            0.80           1.40        2.40       0.60           1.60        0.80     0.80         3.20
345              0.60    0.40          5.80     4.60    11.20   1.80       0.80       1.80  6.20  1.00         5.80            0.60           1.20        2.80       0.40           1.60        0.60     0.40         1.80
350              0.80    0.80          8.60     4.80    12.40   1.60       1.40       1.00  7.40  1.60         4.80            1.40           1.60        1.80       0.40           1.00        0.60     0.60         2.20
355              0.40    0.20          5.60     3.60    12.20   2.00       1.00       3.20  4.00  2.40         4.80            1.00           2.40        1.80       0.80           2.60        0.60     0.60         2.00
360              0.80    1.00          3.80     4.80    10.80   0.40       1.60       1.20  3.20  2.40         7.20            1.60           2.60        2.60       1.00           2.00        0.60     0.60         3.20
365              0.60    0.80          5.20     7.00    12.60   1.60       1.00       1.00  5.40  0.60         7.20            1.20           0.60        3.00       1.40           0.80        0.40     1.00         3.20
