Title: ECSA-EPRWNaf65RSGQDdC99DqrxojXnlmqbN8 Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    EPRWNaf65RSGQDdC99DqrxojXnlmqbN8.35A


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              2.40    2.00         22.60    17.80    43.20   5.80       5.60       5.20  20.60   7.00        21.80            4.80           6.40        6.20       1.80           5.60        1.80     1.20         7.40
190              2.20    2.20         21.80    17.60    44.20   5.60       5.20       5.80  21.00   5.20        21.80            5.60           5.20        8.60       2.20           5.80        1.80     2.20         8.40
195              1.80    1.80         21.20    15.00    39.80   5.40       5.40       6.40  18.60   5.00        18.20            5.40           4.20        7.20       2.40           5.20        2.00     1.40         7.00
200              1.60    2.20         17.80    14.60    34.60   4.00       3.60       4.20  15.60   5.60        15.40            4.00           5.60        5.80       2.00           5.00        2.20     2.60         7.00
205              1.40    1.40         18.20    14.60    34.40   5.00       3.60       5.20  15.60   4.40        18.80            3.00           4.60        5.60       1.40           4.60        2.00     2.00         6.40
210              2.20    1.60         16.80    14.00    34.60   3.40       3.20       5.20  16.80   4.60        16.80            3.20           5.00        7.20       2.80           5.20        1.60     1.20         7.20
215              1.60    2.80         18.20    15.00    36.00   4.40       4.80       4.80  15.80   4.40        17.40            4.60           4.80        7.40       1.60           5.00        1.40     1.80         6.80
220              2.20    2.20         19.00    14.00    35.80   3.40       3.60       4.40  14.80   5.20        16.40            3.60           5.00        6.20       2.20           5.20        3.40     2.80         6.80
225              2.80    1.80         14.40    16.40    33.20   3.80       4.60       4.00  13.40   4.60        18.80            4.60           4.40        8.00       2.80           4.00        1.40     1.60         6.80
230              1.80    2.60         16.20    16.00    35.00   3.60       3.20       5.40  14.80   5.60        19.40            3.80           6.00        7.20       2.60           5.20        2.40     2.20         7.60
235              1.60    2.20         17.00    16.60    37.00   4.00       4.40       3.60  13.60   4.60        21.60            4.00           4.40        6.20       2.00           4.20        2.60     2.60         9.00
240              3.20    2.00         17.20    15.60    34.20   4.60       4.40       4.80  17.60   4.00        14.60            5.40           3.60        8.80       2.60           4.40        1.60     2.00         4.60
245              1.80    2.80         19.00    13.80    39.00   4.20       5.80       4.80  15.80   4.80        19.00            4.60           4.40        5.80       1.60           4.60        2.20     2.40         7.00
