"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"10","0","0.00","0.00","8.20","1.20","14.00","2.00","2.20","3.80","6.60","2.80","2.20","2.40","2.20","0.20","0.00","3.60","0.00","0.00","0.60"
"11","5","0.00","0.00","3.40","5.40","11.40","0.80","1.00","2.20","5.20","3.20","8.40","0.60","3.20","1.00","0.20","2.00","0.00","0.00","3.40"
"12","10","0.00","0.00","7.20","2.80","11.60","2.20","0.60","2.00","6.20","1.40","5.00","0.60","2.00","3.80","0.80","2.20","0.00","0.00","3.00"
"13","15","0.00","0.40","6.60","4.20","12.20","1.40","0.40","1.80","6.40","1.80","5.20","0.40","1.80","2.40","1.20","1.60","0.00","0.00","2.80"
"14","20","0.00","1.60","4.60","3.40","12.20","0.80","0.40","2.60","3.60","2.80","6.60","0.60","2.60","3.40","0.60","2.40","1.00","1.20","3.00"
"15","25","0.80","0.40","4.80","5.40","8.40","1.00","1.20","0.40","3.80","1.00","6.00","1.20","1.40","2.60","0.80","1.00","1.00","0.80","3.20"
"16","30","0.40","0.60","2.80","2.60","3.80","0.20","1.00","0.40","1.80","0.60","2.80","0.80","0.60","1.00","0.20","0.40","0.00","0.00","0.20"
"17","35","0.60","0.20","1.40","1.80","9.80","0.40","0.40","0.80","1.80","0.00","2.60","0.60","0.00","1.00","0.60","0.00","0.20","0.60","0.80"
"18","40","0.60","0.60","6.60","5.20","9.40","2.00","1.20","2.20","5.60","2.00","4.00","1.20","1.80","2.00","0.60","3.00","1.40","1.20","2.00"
"19","45","0.80","1.00","3.60","5.00","9.20","1.20","1.20","0.20","2.60","1.20","6.20","1.40","1.40","2.20","0.60","0.20","0.20","0.40","2.40"
"20","50","0.40","0.40","5.00","3.80","5.00","0.60","1.00","0.80","4.40","0.00","4.40","0.80","0.00","1.00","0.60","0.60","1.00","0.60","1.60"
"21","55","0.80","0.60","2.20","2.40","9.40","0.00","0.80","0.60","2.40","1.20","2.80","0.80","1.00","0.80","0.00","0.80","0.00","0.40","0.40"
"22","60","0.40","0.80","5.60","3.60","9.40","1.60","0.60","2.60","4.20","1.80","3.40","0.40","1.20","2.60","1.20","2.00","1.20","0.80","2.20"
"23","65","0.80","0.80","4.80","5.80","10.20","1.00","0.80","1.80","3.80","2.20","7.00","0.80","3.00","1.80","0.60","2.20","0.40","0.60","3.00"
"24","70","1.00","0.60","5.20","5.40","13.00","1.00","1.80","0.60","4.80","1.00","6.80","2.00","0.60","3.40","0.80","0.80","1.40","1.20","2.40"
"25","75","0.40","0.20","6.00","5.40","9.80","1.00","1.60","1.60","5.40","1.00","5.00","1.60","1.40","1.80","0.80","1.20","0.40","0.40","2.20"
"26","80","1.00","1.60","5.60","4.00","12.80","1.80","1.00","1.40","4.80","1.80","6.00","1.60","1.40","2.60","0.80","1.60","0.60","1.00","2.20"
"27","85","0.80","0.60","6.80","5.80","13.00","1.40","1.40","1.80","6.00","1.20","6.00","1.20","1.40","1.80","0.20","1.40","1.20","0.80","1.60"
"28","90","1.20","0.20","5.80","4.00","10.40","1.00","1.60","2.00","5.60","2.40","4.80","1.40","1.80","1.60","0.20","2.00","0.40","0.60","1.20"
"29","95","0.20","0.20","5.60","5.00","11.00","1.20","0.80","2.20","4.00","2.20","6.00","0.60","2.00","2.00","0.60","2.20","0.40","0.20","2.80"
"30","100","0.60","0.40","5.20","4.40","12.00","1.00","1.60","1.60","5.40","1.40","6.60","1.60","2.20","2.40","0.40","1.60","0.20","0.20","2.80"
"31","105","0.40","0.60","5.80","4.00","10.40","1.00","0.60","1.40","5.80","1.40","5.40","0.80","1.60","2.60","1.40","1.60","0.40","0.60","3.00"
"32","110","0.00","1.20","5.60","4.40","11.20","1.40","1.00","2.00","4.20","2.00","4.40","0.60","1.60","2.40","0.80","2.00","1.00","1.00","2.20"
"33","115","0.60","0.60","5.00","5.00","10.40","1.20","1.00","0.60","4.00","1.40","6.00","1.60","1.60","2.40","0.40","1.00","1.00","0.80","2.00"
"34","120","1.40","0.60","5.00","5.40","11.80","1.40","2.40","1.80","5.60","1.40","7.00","1.80","0.80","2.40","0.80","1.60","0.20","0.20","2.40"
"35","125","0.20","0.80","7.00","4.40","12.20","1.80","1.00","1.20","5.60","0.80","4.20","1.40","1.60","2.20","0.40","1.00","1.00","1.20","1.20"
"36","130","1.20","0.40","5.40","4.20","9.60","0.80","1.80","1.40","4.20","1.40","5.60","1.60","1.20","1.00","0.40","1.20","0.60","0.60","2.00"
"37","135","0.60","0.40","4.60","5.60","11.20","1.00","1.20","1.60","5.40","1.80","5.80","1.20","1.80","2.60","0.80","2.20","0.60","0.40","2.60"
"38","140","0.20","1.00","6.40","4.60","13.00","1.40","0.60","1.20","6.20","1.20","6.80","0.80","1.40","2.60","0.60","0.60","0.00","0.80","2.00"
"39","145","0.40","0.60","6.60","4.60","12.00","0.60","1.40","3.00","5.20","2.40","4.60","1.00","2.20","2.20","0.60","3.40","1.20","0.60","1.80"
"40","150","0.80","0.60","5.40","5.00","11.60","2.00","0.80","1.40","4.60","2.20","7.00","0.80","2.20","2.60","0.60","1.40","0.60","0.40","3.20"
"41","155","1.00","0.20","4.80","4.20","10.20","1.20","1.40","1.40","4.20","1.00","4.60","1.60","1.00","2.40","1.00","1.00","0.40","0.40","2.20"
"42","160","0.40","1.00","6.00","5.20","11.80","1.60","1.60","1.60","6.00","2.20","6.60","1.40","2.20","2.00","0.20","2.00","0.40","0.60","2.00"
"43","165","0.80","0.60","7.20","4.20","12.20","1.60","1.20","1.40","5.20","1.00","5.60","1.40","1.00","1.80","0.80","1.60","1.00","0.80","2.40"
"44","170","0.20","0.40","5.00","5.00","12.00","1.20","1.40","1.20","5.00","1.00","5.60","1.80","1.20","2.20","0.80","1.00","0.80","0.80","2.20"
"45","175","0.80","0.60","5.00","4.80","10.20","1.40","1.60","1.60","4.60","2.20","4.80","1.00","1.80","2.00","0.60","1.60","0.40","0.40","2.00"
"46","180","0.60","1.20","6.60","5.40","12.60","1.80","1.00","1.60","5.60","1.00","7.20","1.60","1.40","2.80","0.60","1.40","0.80","1.20","1.80"
"47","185","0.80","0.20","5.80","4.20","9.80","1.00","1.60","1.00","5.60","1.20","4.80","1.40","1.00","1.40","0.60","1.40","0.80","0.40","2.00"
"48","190","0.60","0.60","5.40","5.20","11.80","1.40","1.20","2.00","4.80","1.60","5.60","1.40","1.40","2.40","0.40","1.20","0.40","0.60","2.00"
"49","195","0.60","0.80","5.60","3.80","11.40","1.20","2.00","1.20","4.40","1.40","4.00","1.40","1.40","2.20","0.60","1.40","0.60","0.80","1.80"
"50","200","0.80","0.80","6.20","5.80","11.00","1.60","1.00","1.60","5.40","1.80","6.40","1.60","1.60","1.20","0.60","1.60","0.80","0.40","2.60"
"51","205","0.40","0.40","6.00","4.80","12.60","1.80","1.60","1.80","5.60","1.60","5.40","1.40","2.20","3.00","1.00","2.00","0.60","0.60","2.00"
"52","210","0.60","1.00","5.00","5.40","11.40","1.40","1.40","0.80","5.20","1.60","8.20","1.20","1.40","2.20","0.60","1.20","0.20","0.40","3.20"
"53","215","0.60","0.60","7.00","5.00","11.80","0.80","0.80","2.20","5.00","1.00","4.20","1.20","0.80","2.80","1.00","1.40","1.00","0.80","1.40"
"54","220","0.80","1.00","5.60","3.40","12.40","0.40","1.60","2.20","5.40","2.60","5.20","1.00","2.60","1.60","0.40","2.80","1.00","1.20","2.20"
