Title: ECSA-2fkQdZD7V7Kvw7VSttuxB3w6KHiO4QeW Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    2fkQdZD7V7Kvw7VSttuxB3w6KHiO4QeW.14B


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              2.40    3.00         28.20    21.00    48.00   6.40       5.60       7.60  23.80   5.40        23.00            5.60           4.80        8.80       2.60           6.20        2.80     1.60         7.20
190              3.00    2.40         24.80    18.40    45.20   5.40       5.60       7.00  22.40   7.80        21.40            5.20           7.60        8.60       1.80           8.60        3.00     3.60         8.40
195              2.00    2.00         23.40    20.60    48.00   5.40       5.80       6.00  19.20   6.00        24.80            5.80           6.80        7.00       3.00           5.80        2.00     2.20         9.00
200              2.80    2.80         23.80    21.00    47.20   7.20       5.20       6.40  23.40   7.20        23.40            5.80           6.00       10.00       3.40           7.20        3.20     2.80         9.60
205              2.60    2.40         23.60    18.60    50.20   4.20       5.40       6.80  21.20   6.20        23.20            5.00           6.60        9.40       2.40           6.00        1.40     2.60         9.40
210              2.20    3.40         27.60    19.40    48.00   6.00       5.60       7.00  22.00   7.40        23.60            5.00           7.80        9.80       2.40           7.80        3.00     2.40         9.20
215              2.60    2.20         23.40    22.40    49.00   6.60       5.60       6.00  22.40   7.00        27.00            5.40           7.00        7.80       3.60           6.60        3.40     2.40        10.60
220              2.60    3.40         23.60    22.00    57.00   5.40       4.60       7.40  23.20   7.20        27.20            4.80           7.40       12.00       3.60           7.00        1.80     2.60        10.40
225              2.80    3.20         27.80    20.60    53.20   6.40       5.60       8.00  20.80   6.60        26.20            6.80           6.20       10.80       3.40           7.40        4.40     3.60        11.80
230              3.60    4.00         24.20    23.20    51.00   6.60       6.40       6.80  22.40   7.40        26.40            5.80           7.20       10.40       2.80           6.60        3.60     4.40        10.40
235              3.00    3.20         25.40    23.60    53.40   4.60       6.20       5.60  22.00   6.00        28.20            6.00           6.00       10.80       4.20           5.80        3.20     3.40        10.60
240              3.60    3.80         24.60    23.20    46.20   6.80       4.60       7.40  21.00   8.40        22.40            5.40           6.40        9.80       2.00           8.00        3.20     3.00         8.00
245              3.20    2.60         23.60    19.20    49.20   4.80       6.60       4.80  22.20   5.20        24.80            6.00           7.40        8.80       3.40           5.40        3.60     3.40        10.20
250              2.80    2.80         25.80    23.20    49.40   5.80       6.60       9.40  20.60   6.20        26.00            6.20           5.80        8.80       3.60           7.60        2.40     2.20         9.60
255              4.40    3.40         23.40    22.20    51.60   6.20       5.20       5.20  21.60   7.60        27.20            7.20           7.60       11.00       3.20           6.20        3.40     3.80         9.80
260              2.40    3.60         26.00    22.60    56.20   5.80       7.00       6.00  20.60   5.40        26.40            5.60           6.00       12.20       3.20           6.20        4.00     3.60        10.80
265              3.00    3.60         26.40    23.40    49.80   4.80       5.80       6.00  23.20   5.40        26.00            6.00           6.00        8.20       2.80           5.20        3.20     3.60         9.00
