Title: ECSA-7woRL13LcSzIxDAbM7J0PoQR5myKAQJR Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    7woRL13LcSzIxDAbM7J0PoQR5myKAQJR.14I


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              1.80    1.60          7.60     7.60    20.80   1.20       3.20       2.40   8.00   2.40        10.60            2.60           2.60        3.80       0.60           2.80        1.20     2.00         3.20
190              1.40    1.20         10.40    10.80    21.00   3.00       2.60       2.00   8.00   2.40        11.20            2.60           2.60        5.00       1.60           1.60        1.80     1.20         5.20
195              1.60    1.60         10.20     9.80    16.80   1.40       1.80       1.80   7.40   1.80        10.40            1.60           1.80        3.60       1.60           2.40        1.80     2.00         4.20
200              1.00    1.00          6.60     6.20    12.40   1.80       2.20       1.80   6.00   1.60         6.60            1.80           2.00        2.20       1.20           1.40        1.40     1.20         2.60
205              0.80    1.20          9.80     7.60    20.60   2.60       1.20       3.60   9.40   3.60         9.00            1.60           2.80        3.40       1.20           3.80        1.00     0.80         3.80
210              0.60    0.60          8.00     8.00    15.20   1.40       2.20       2.00   6.40   2.20        10.00            2.00           2.60        3.40       1.40           2.20        0.40     0.40         4.20
215              1.20    2.00          8.40     7.20    21.80   2.60       2.00       3.60   8.20   3.00         8.60            2.00           2.60        3.80       0.20           2.80        0.60     0.80         2.80
220              1.00    1.00          8.40     8.00    20.60   1.60       2.40       1.40   9.00   2.40        11.20            2.20           2.80        5.20       1.20           1.80        0.40     0.60         3.60
225              1.00    1.20         10.80     6.80    18.60   1.60       2.00       4.40   8.80   4.40         8.20            2.40           3.40        3.20       1.00           4.60        1.60     1.20         3.00
230              1.20    1.20          8.40     7.80    15.00   2.00       1.80       1.20   6.60   1.40         9.20            1.40           2.40        3.80       1.00           1.40        0.80     1.00         4.00
235              1.20    1.20          8.60     8.20    23.20   2.60       2.40       2.20   7.40   2.00         8.60            3.00           2.20        4.40       1.40           2.00        2.60     2.60         3.60
240              1.40    1.20         11.00     9.80    19.20   1.80       2.80       2.80   8.60   2.40        11.60            2.60           2.00        3.60       1.60           2.80        1.60     1.60         4.20
245              1.60    1.00         10.00    10.80    18.40   2.00       2.80       2.60   9.80   2.60        11.20            3.20           3.00        2.80       0.80           2.20        1.00     1.00         5.00
250              1.00    1.00          7.60     6.40    17.60   2.80       1.80       3.20   6.20   2.80         9.00            1.20           2.80        3.00       0.80           3.40        1.00     1.60         3.60
255              0.40    0.80         11.00     7.40    21.00   1.80       2.20       2.00  10.40   2.00         8.80            2.20           1.80        3.60       0.60           1.80        1.20     0.80         2.00
260              2.60    0.80         11.40     9.20    23.60   2.80       2.80       2.40  10.40   2.80        10.20            4.00           2.80        5.60       1.60           2.40        1.20     0.80         4.00
265              1.40    1.60         11.20     9.40    24.20   1.60       3.80       2.80   9.20   2.40        11.20            3.00           2.60        5.20       1.20           3.00        1.20     1.60         4.00
270              0.80    1.40         11.80     8.20    14.20   2.60       1.60       1.40  10.80   2.40         8.20            1.40           2.40        2.00       0.60           1.80        1.20     1.40         2.00
275              0.80    0.80         11.00     7.60    25.80   1.80       1.60       5.40  10.20   2.60         9.40            2.00           2.40        2.40       0.80           3.80        1.20     0.80         3.80
280              1.60    0.80          9.20     8.60    14.00   2.40       2.80       3.00   7.60   4.40         9.40            2.20           3.60        3.40       1.00           3.40        0.80     0.60         4.00
285              1.60    1.00          7.80     6.00    20.40   2.40       2.80       3.20   6.80   3.60         7.80            3.60           4.20        3.00       0.80           4.20        1.00     1.20         3.20
290              1.00    0.60         12.40    10.60    22.40   1.40       2.40       3.00  11.20   3.40        15.20            1.40           3.40        4.20       0.40           2.60        1.20     1.00         5.00
295              0.60    0.40          8.00     6.80    13.60   1.20       1.40       1.60   7.40   2.00         6.80            1.80           2.20        3.40       0.40           1.80        0.40     0.40         2.40
300              0.60    0.60          8.40     6.80    24.00   2.00       1.80       4.60  10.00   2.60        10.40            1.60           2.40        4.40       1.40           4.00        0.60     0.60         4.40
305              0.80    1.20         11.20     7.60    17.00   2.80       1.40       2.60   8.40   4.20        11.60            1.40           3.80        4.40       1.80           3.60        0.40     0.60         5.60
310              0.60    1.20          8.60     8.80    21.60   2.60       1.60       2.80   8.20   2.80        10.60            1.60           3.00        4.20       1.20           2.20        1.20     1.00         4.60
315              1.00    1.80         11.40     8.00    23.40   2.40       3.20       3.80  10.40   2.40         9.20            3.40           2.60        4.60       1.00           3.20        1.20     1.20         4.00
320              0.80    1.00          9.20     9.20    20.20   1.60       2.60       1.80   7.80   3.40        10.40            2.20           4.00        3.80       1.40           2.40        1.20     1.20         4.00
325              1.60    1.00         13.00    10.60    22.20   3.00       1.00       2.20  12.40   2.40        13.60            1.80           1.40        4.60       1.20           2.40        1.20     1.40         5.60
330              0.40    1.20         10.00     7.20    17.40   1.60       2.40       4.00   8.40   2.40         8.20            1.80           2.60        4.80       1.40           3.60        1.00     1.00         3.20
335              0.80    1.20          9.80     4.80    20.40   3.20       0.80       1.60   9.20   2.80         6.40            1.60           3.20        3.80       0.60           2.00        1.00     1.40         2.20
340              1.80    1.20         13.20    11.80    27.20   3.00       4.20       3.80  11.00   3.60        12.80            4.20           3.80        5.60       1.40           4.00        1.60     1.60         5.40
345              0.60    1.00          7.60     6.80    11.20   1.40       2.60       2.20   5.60   2.60         7.80            1.60           2.60        2.80       1.00           2.00        0.60     0.20         2.80
350              0.60    0.40          7.00     4.60    12.40   2.40       0.80       2.20   7.80   1.40         5.40            1.20           1.20        1.60       0.60           1.80        0.80     0.60         2.20
355              1.20    0.60          6.00     6.60    14.80   1.20       2.20       2.00   4.20   2.60         9.20            2.20           2.60        1.60       0.60           2.40        0.60     0.80         3.00
360              0.60    0.40          7.00     6.40    18.40   1.40       2.20       1.40   6.20   2.00         8.60            2.00           1.80        3.40       0.60           1.80        1.00     1.00         3.00
365              1.20    1.20          9.20     8.20    13.20   2.40       1.40       2.60   9.00   1.80         7.40            1.40           1.40        2.40       0.80           2.20        0.80     0.80         3.40
370              1.00    1.00          7.00     5.00    14.20   1.00       1.80       1.20   5.40   1.60         7.60            2.20           2.60        2.60       0.20           1.00        0.80     0.60         2.00
375              0.60    0.40          6.80     6.40    14.40   2.20       1.80       0.80   7.20   1.00         7.40            1.40           1.00        3.80       1.00           1.00        0.80     0.80         2.60
380              1.20    1.00         11.00     6.40    21.80   3.40       2.20       3.60  11.00   2.60         7.40            2.00           2.20        4.00       1.60           3.20        0.40     0.60         3.40
385              0.40    1.60         12.40     7.40    17.00   1.60       2.00       2.80  10.80   3.40         8.80            2.20           3.40        3.80       0.40           3.00        0.80     0.60         3.20
390              1.40    0.60          8.60     7.60    23.00   2.40       2.60       3.60   7.40   3.20        11.80            2.80           2.40        2.80       0.40           3.60        1.40     1.40         3.60
395              0.80    1.00          8.60    10.00    18.20   2.00       2.40       1.60   6.60   2.60         9.40            2.00           2.80        4.00       1.80           2.00        1.20     1.60         4.80
400              1.80    1.40         10.00     7.40    25.40   3.80       2.80       3.40   9.80   2.40         9.80            3.80           2.60        5.20       2.00           3.00        1.20     1.00         3.60
405              1.00    1.20         10.60    10.00    14.80   2.80       3.20       1.40   9.60   2.00        10.40            3.20           2.40        3.00       1.60           1.40        0.80     0.80         4.60
410              0.60    1.00          6.60     4.80    14.00   2.40       2.60       0.80   5.80   0.80         6.20            2.00           1.20        2.20       0.40           1.20        0.40     0.60         1.80
415              0.60    1.40          9.80     9.80    26.40   2.40       2.00       2.80  10.00   2.40        12.00            2.00           1.80        4.00       0.60           2.80        1.20     2.00         3.40
420              0.80    1.20         15.20     9.20    17.20   3.60       2.60       3.00  11.00   2.80         9.20            3.00           3.00        2.80       0.80           2.20        2.00     1.00         3.60
