"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"1032","3.250","3","1","30","21","60","9","8","14","27","6","26","4","6","7","4","13","6","6","15",""
"1033","3.300","3","4","27","25","74","5","12","14","30","13","29","9","11","11","3","9","5","4","10",""
"1034","3.350","2","3","28","23","69","8","6","9","19","4","30","9","8","18","1","8","2","3","12",""
"1035","3.400","4","5","31","24","53","5","2","7","32","10","25","11","10","12","1","5","4","2","12",""
"1036","3.450","3","2","22","17","52","7","3","4","21","10","14","8","9","10","8","7","3","4","10",""
"1037","3.500","4","4","26","18","38","7","4","6","14","4","27","11","4","16","3","7","5","2","7",""
"1038","3.550","3","2","31","21","39","5","2","7","25","6","21","4","1","6","3","7","4","3","7",""
"1039","3.600","2","3","14","21","45","5","9","4","23","10","19","4","6","8","4","3","2","2","5",""
"1040","3.650","1","1","24","20","38","3","5","8","17","8","17","5","4","9","0","4","3","1","7",""
"1041","3.700","1","0","16","18","36","6","4","4","21","6","20","8","8","7","1","8","3","2","12",""
"1042","3.750","2","0","22","16","53","9","4","7","15","5","16","2","4","4","0","5","1","1","11",""
"1043","3.800","1","4","16","21","39","8","8","4","10","6","13","4","3","5","2","5","2","2","10",""
"1044","3.850","1","4","23","18","36","2","4","6","6","5","23","3","3","6","3","6","4","0","5",""
"1045","3.900","1","2","10","12","26","4","5","9","21","6","19","4","4","7","1","5","0","1","9",""
"1046","3.950","1","2","20","11","40","4","3","5","13","5","12","1","3","8","3","4","2","3","8",""
"1047","4.000","2","2","11","14","32","5","4","4","17","0","14","5","3","9","0","6","1","5","5",""
"1048","4.050","0","3","12","14","31","3","5","1","14","3","16","6","3","7","1","4","1","1","7",""
"1049","4.100","4","2","13","9","21","1","3","2","17","2","12","2","6","5","3","3","2","2","3",""
"1050","4.150","0","0","13","12","14","2","4","1","9","4","14","4","0","3","3","2","0","2","5",""
"1051","4.200","0","0","15","11","14","2","2","6","16","6","10","3","4","6","1","5","1","1","5",""
"1052","4.250","1","0","12","9","25","1","4","6","15","2","13","1","2","4","2","1","1","2","2",""
"1053","4.300","1","0","12","6","21","3","2","1","9","3","14","2","2","3","1","2","0","2","5",""
"1054","4.350","3","1","10","8","27","3","5","1","10","2","11","0","1","3","1","0","3","3","5",""
"1055","4.400","1","2","7","9","18","2","0","2","10","2","8","3","4","2","1","2","1","1","9",""
"1056","4.450","1","2","12","11","27","6","2","5","6","3","10","8","4","2","0","2","0","0","4",""
"1057","4.500","2","0","13","11","15","2","3","2","10","3","13","2","2","2","1","1","1","0","1",""
"1058","4.550","2","3","5","7","15","2","2","2","8","1","4","1","3","4","2","3","0","2","2",""
"1059","4.600","0","1","7","6","19","1","2","1","5","2","10","5","2","1","2","0","1","0","3",""
"1060","4.650","0","1","9","5","15","3","3","1","6","3","5","1","0","2","1","2","1","1","4",""
"1061","4.700","0","0","9","3","13","0","0","1","12","0","3","2","4","5","2","0","0","0","3",""
"1062","4.750","1","0","6","10","20","0","2","3","7","1","9","2","1","2","3","0","2","0","0",""
"1063","4.800","2","1","6","6","15","1","1","1","4","3","4","3","1","4","1","2","1","1","3",""
"1064","4.850","0","2","11","2","15","4","2","3","3","0","13","0","2","2","2","2","0","1","4",""
"1065","4.900","0","0","6","7","9","1","1","1","4","1","9","2","1","4","1","0","0","2","2",""
"1066","4.950","21","18","119","100","220","38","25","31","106","28","123","39","27","40","12","32","16","15","46",""
