Title: ECSA-M8EahCf0k0RhwMGpsUFCyIyMwNOsnEbL Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    M8EahCf0k0RhwMGpsUFCyIyMwNOsnEbL.15G


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              0.40    0.60          4.40     4.60     9.60   1.20       1.20       0.40   4.00  1.00         6.20            0.80           1.20        2.00       0.80           0.60        0.80     0.80         2.80
190              1.20    0.20          8.00     6.20    11.80   2.40       1.40       0.60   7.60  0.60         6.20            1.60           0.40        2.20       0.80           0.60        0.80     0.80         2.20
195              1.60    1.60          5.60     6.80    17.00   0.20       2.40       2.20   5.00  1.60         7.80            2.60           1.60        3.80       1.60           1.60        0.60     0.40         2.40
200              0.40    0.60          7.60     6.60    11.20   1.00       1.80       1.60   5.60  2.00         8.20            2.00           2.00        1.80       0.20           1.80        1.40     1.60         3.00
205              0.60    0.40          5.60     4.00    12.40   1.60       1.60       1.20   5.80  1.00         3.60            1.00           1.00        2.60       0.60           1.20        0.60     0.60         2.00
210              0.20    1.00          7.20     5.80    16.80   1.60       1.20       3.00   6.40  1.80         7.00            1.80           1.80        2.80       0.40           2.60        0.80     0.60         1.60
215              1.00    0.80          8.00     5.20    10.60   3.60       1.40       1.60   6.80  3.20         5.80            1.20           2.80        2.20       0.60           2.40        0.80     0.80         2.80
220              0.80    0.40          6.80     4.60    13.60   2.20       1.80       0.40   7.20  0.40         6.20            2.00           1.00        2.20       0.20           0.20        0.00     0.00         1.80
225              0.80    1.00          9.40     4.40    12.80   2.00       1.20       2.00   7.20  1.40         5.80            1.00           1.00        2.00       0.60           1.80        1.00     1.00         1.20
230              0.80    0.20          6.60     5.60    15.40   1.40       1.60       2.40   7.20  1.80         6.20            2.00           1.40        1.60       0.60           1.40        0.20     0.40         2.60
235              0.40    0.60          6.40     4.60    13.00   1.40       2.20       3.00   5.60  3.60         6.60            1.40           4.00        2.60       1.00           4.20        0.80     0.80         2.40
240              1.40    0.60          8.20     8.40    19.80   2.00       0.80       3.40   7.60  3.00         8.80            1.80           2.40        1.80       0.40           2.60        1.20     1.00         4.20
245              0.00    0.80          7.80     6.00    16.40   2.00       1.60       2.60   7.20  2.20         9.60            1.00           3.20        5.20       2.40           3.00        0.20     0.80         4.80
250              0.40    1.40          6.00     7.80    15.20   1.80       2.00       1.80   5.40  2.80         9.60            1.80           2.40        4.00       2.00           2.00        1.20     1.00         5.20
255              1.20    1.40          7.00     7.20    15.40   1.40       2.00       1.60   5.40  1.60         8.00            2.20           1.60        3.40       1.00           1.60        1.00     0.80         2.60
260              1.20    1.80          6.00     7.80    13.00   1.20       1.60       1.20   4.20  1.20         8.00            1.40           1.20        3.60       0.80           1.20        1.40     1.40         3.80
265              1.00    1.60          8.40     7.20    18.80   1.00       1.20       1.60   9.00  2.00         8.60            1.40           2.00        4.60       1.00           1.80        1.20     1.20         2.80
270              1.20    1.00          9.00     6.80    13.80   1.40       1.20       3.20   5.80  1.80         6.00            1.20           1.60        2.60       1.80           2.20        1.40     1.20         3.20
275              1.20    1.60          8.20     7.60    21.40   2.60       2.20       3.00   7.80  3.00        10.20            2.60           3.00        5.00       0.80           3.60        2.20     2.60         3.20
280              1.60    0.80          9.20     8.60    16.20   1.60       2.80       2.00   6.60  2.40         9.80            2.40           2.80        2.60       0.60           2.00        1.20     0.80         2.80
285              1.40    0.20          7.00     5.40    10.20   2.00       1.40       1.60   7.00  2.60         4.40            1.20           2.20        1.80       0.40           2.20        0.40     0.40         2.20
290              0.40    1.00          6.40     7.80    19.20   1.60       2.40       2.00   6.20  1.40         9.80            2.40           1.80        2.80       1.40           1.60        0.80     1.00         3.20
295              2.20    1.00          9.60     8.40    19.40   1.80       2.20       2.60   8.40  2.00        10.20            2.60           1.40        3.80       0.80           2.60        0.80     0.80         3.60
300              0.40    1.00          9.20     7.20    15.80   1.80       1.60       2.20   7.20  2.60         8.40            1.40           2.80        2.80       1.00           2.20        1.00     1.40         3.40
305              1.00    0.80         10.20     7.40    22.00   2.60       1.80       2.60   9.80  2.80        11.40            2.20           3.20        4.00       0.60           2.40        1.20     0.80         4.20
310              1.20    1.00          8.00     7.80    13.60   2.40       2.60       1.80   7.00  2.00         7.20            2.00           1.60        2.40       1.60           2.00        1.00     1.00         3.20
315              0.80    1.00          6.20     5.20    10.80   2.00       1.00       1.20   6.20  1.60         5.60            1.00           1.80        3.00       0.80           1.40        0.40     0.60         2.40
320              0.60    0.80          8.40     6.20    17.20   2.20       0.80       2.80   6.60  1.80         7.20            0.60           2.00        2.20       0.60           2.40        1.40     1.00         2.20
325              1.60    1.00          8.00     6.40    16.20   1.60       1.20       3.20   7.60  3.20         7.00            1.60           3.00        3.00       0.80           3.40        0.40     0.80         2.80
330              0.60    1.60          8.20     7.00    16.60   1.20       3.00       2.20   7.20  2.80         9.00            2.80           2.60        4.20       1.20           2.40        1.80     1.60         4.00
335              0.20    0.20          7.40     7.60    14.20   1.20       0.80       2.00   4.80  2.00         8.00            0.60           2.40        2.40       2.00           1.80        1.20     1.00         3.60
340              1.80    0.80          5.40     5.40    12.40   1.80       1.60       1.20   4.80  1.20         6.00            2.20           1.00        4.20       1.20           1.20        0.40     0.40         3.00
345              1.20    1.60          5.60     7.60    20.40   1.80       1.80       2.80   5.60  2.60        11.40            2.00           2.80        3.40       1.80           3.00        0.80     0.80         3.80
350              0.80    1.60          9.40     9.40    16.20   2.20       2.40       1.80   8.40  1.40        10.00            1.80           1.60        3.80       1.20           1.80        1.40     1.60         4.60
355              0.80    0.60          8.20     6.20    13.40   2.00       1.60       1.60   7.00  2.60         5.80            2.40           2.00        2.80       0.60           1.80        1.20     1.00         2.20
360              1.20    1.80          8.00     7.60    17.60   1.00       2.60       1.60   7.00  1.00         9.20            2.00           1.60        2.60       0.00           1.00        0.20     1.00         3.00
365              1.00    1.20          7.80     6.40    16.60   1.60       2.20       2.40   5.80  1.80         7.00            2.00           1.60        3.80       1.20           1.60        2.00     1.40         2.40
370              1.20    1.20          8.80     8.60    15.80   2.80       1.40       1.40   8.40  2.40         8.40            1.80           2.40        3.80       2.00           2.40        1.40     1.40         2.80
375              1.60    0.60          7.80     5.60     8.80   0.80       2.60       1.00   5.80  1.00         6.20            2.20           1.00        1.20       0.20           1.00        0.40     0.40         1.80
380              0.40    0.60          5.80     4.80    11.80   0.80       0.80       1.40   5.40  1.20         5.60            1.00           1.20        1.60       0.60           1.40        1.00     1.20         2.40
385              1.40    0.60          5.80     4.80    13.60   1.00       1.60       3.00   4.20  3.00         4.80            2.00           2.60        2.20       0.60           3.00        1.00     0.80         1.00
390              0.80    1.20          5.80     6.00    12.00   1.60       1.60       2.20   5.20  2.60         7.00            1.20           2.60        2.80       0.60           2.40        1.00     0.80         3.60
395              0.60    0.60          7.00     5.00    14.40   1.40       1.00       1.20   7.00  1.20         6.40            0.80           1.40        3.20       1.00           1.40        0.00     0.00         3.00
400              0.40    0.60          6.40     6.00    16.80   0.60       1.80       2.80   6.00  2.00         8.80            2.00           2.40        2.60       0.80           2.20        0.40     0.60         3.20
405              0.60    0.60          8.00     7.20    16.60   1.40       0.80       3.00   6.40  3.00        10.00            0.40           2.20        3.60       1.00           2.60        1.80     1.60         3.80
410              1.40    1.20          6.20     6.40    17.00   2.60       1.60       2.80   5.80  2.60         7.80            1.80           2.60        4.20       1.00           3.20        0.80     1.00         3.00
415              0.60    0.80          8.40     6.40    11.20   2.60       1.20       1.40   7.80  2.00         5.40            1.20           2.80        2.20       0.60           1.80        1.20     1.20         2.20
420              1.20    0.20          7.40     5.00    11.80   1.40       3.00       1.00   5.40  1.00         5.40            3.40           1.00        1.20       0.60           0.80        0.60     0.40         2.20
425              0.80    1.00          6.00     5.60    12.80   1.00       1.60       1.40   5.60  1.20         7.40            1.60           1.20        2.20       0.40           1.20        0.80     0.80         2.20
430              0.40    1.00          6.80     4.60    13.80   0.80       1.20       1.20   5.60  1.20         5.00            0.60           1.20        3.40       0.40           1.20        1.00     1.00         2.00
435              1.20    0.60          7.40     6.20    12.80   2.60       1.60       1.60   8.00  1.80         6.40            2.00           1.40        2.40       1.00           2.00        0.60     0.80         2.40
440              1.20    1.00          8.20     7.20    19.20   2.60       2.60       3.20   7.20  2.40         8.80            2.40           2.20        2.00       0.60           2.40        1.00     0.80         2.60
445              1.20    0.20          8.00     7.00    12.60   2.80       1.80       1.60   6.40  2.20         8.40            2.00           2.40        2.00       0.60           2.20        0.60     0.60         3.80
450              0.60    0.20          5.00     4.20    11.40   1.60       1.80       1.00   4.60  1.60         6.40            1.60           1.40        1.80       1.00           1.20        0.00     0.00         2.40
455              0.40    1.20          6.00     7.80    16.80   1.80       1.40       3.00   8.00  1.20         9.60            1.80           1.40        4.20       1.60           1.60        0.60     0.60         4.40
460              0.20    0.40          9.40     4.20    12.60   1.80       1.20       1.40   7.00  2.60         5.00            0.80           2.60        1.80       0.40           2.80        0.20     0.40         1.20
465              0.40    0.40          6.60     4.40    11.20   1.20       1.40       2.40   6.20  2.20         4.20            1.60           2.40        2.00       0.80           2.00        0.40     0.20         1.60
470              0.40    0.80          6.20     3.80    15.60   1.20       1.00       1.40   4.80  1.80         5.80            0.80           1.60        2.60       0.60           2.00        0.60     0.80         2.60
475              0.60    2.20          8.20     8.20    17.00   1.80       1.20       3.00   7.60  3.00        10.20            1.20           2.80        4.60       1.00           2.40        1.60     2.20         4.20
480              1.60    0.40          5.80     7.20    10.20   0.80       1.80       1.20   4.20  1.20         6.40            1.80           1.80        2.00       1.40           1.60        1.40     0.60         3.40
485              0.80    1.00          4.20     5.40    11.40   1.40       1.60       0.60   2.60  0.80         6.80            1.60           0.80        3.80       1.00           0.80        1.00     1.00         2.60
