"","Workload (number of users)","Domain metric per workload"
"1",50,0.105820105820106
"2",100,0.185185185185185
"3",150,0.222222222222222
"4",200,0.222222222222222
"5",250,0.203703703703704
"6",300,0.0608465608465608
