Title: ECSA-IT1rBcq3hEoNIiljP8cwQqkdl3dhurdh Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    IT1rBcq3hEoNIiljP8cwQqkdl3dhurdh.14Z


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              0.60    0.40         14.20     8.80    22.80   3.40       2.40       3.40  12.80   2.60         9.80            1.40           2.40        3.60       1.00           3.40        1.60     1.40         4.00
190              0.80    2.20         10.80     9.40    28.20   3.20       1.80       4.40  11.00   5.00        12.80            2.40           4.60        7.00       1.80           4.60        0.80     1.00         6.20
195              0.60    1.60         10.00     9.60    18.80   3.40       2.60       2.60   8.60   2.40        11.60            2.00           2.80        4.00       2.00           2.40        0.40     0.40         5.40
200              1.00    1.40         11.40     8.40    25.40   2.80       2.00       3.20   9.20   3.40        11.60            2.80           3.60        5.20       2.20           3.40        1.60     2.00         5.20
205              1.20    1.80          9.80    11.20    20.80   1.60       2.80       2.80   8.40   2.20        12.20            2.20           2.20        4.80       1.40           2.60        1.80     1.20         5.40
210              1.40    1.80         12.40    13.40    25.60   2.20       3.40       3.80  10.60   4.00        13.80            3.20           3.40        5.20       1.80           4.00        2.00     2.60         4.40
215              1.00    0.80          8.40     6.60    11.80   1.00       1.80       2.60   6.20   2.80         7.00            2.40           3.40        2.60       2.00           2.80        1.20     1.00         4.00
220              0.60    1.20          6.00     5.80    16.40   1.80       1.20       1.60   5.40   2.00         7.20            0.80           2.00        3.40       0.80           1.20        0.80     0.60         2.40
225              0.80    1.40          7.60     7.00    15.80   1.20       2.20       1.80   5.40   2.00         9.00            1.80           1.80        3.20       0.60           2.00        1.40     1.20         3.20
230              2.00    1.60          8.20     9.60    19.00   1.20       2.00       2.00   8.20   1.00         9.80            2.40           1.20        4.80       2.00           1.20        1.40     1.80         4.00
235              2.00    1.80         10.00    11.60    25.00   1.60       3.20       3.00   7.20   3.80        13.20            3.40           3.60        4.60       1.20           4.00        2.20     2.00         4.40
240              3.60    1.40          8.80     9.60    15.00   1.60       3.80       2.00   8.40   1.60         9.80            4.00           2.00        4.20       0.40           1.40        1.20     1.00         3.00
245              0.60    1.00          7.60     5.00    14.20   1.60       2.00       0.80   6.20   1.80         6.20            1.60           2.00        2.20       0.60           1.60        0.40     0.80         1.80
250              0.60    0.40         10.00     6.60    16.60   3.80       1.00       2.60   8.20   1.80         6.60            0.80           0.80        2.00       0.40           1.80        1.80     1.60         2.00
255              1.40    0.60          9.40     6.80    19.00   2.60       2.80       3.40   9.60   2.80         7.80            3.00           3.00        2.60       1.00           3.40        0.60     0.60         3.20
260              0.80    0.80          9.00     7.60    17.20   0.80       2.20       2.00   8.40   3.60        10.40            1.80           3.80        2.80       0.80           2.80        0.80     0.80         3.80
265              0.60    1.20          9.00     9.40    19.40   2.60       1.40       3.20   7.40   2.40        10.60            1.40           2.60        3.20       1.00           2.60        1.40     1.80         4.20
270              2.40    1.00         12.40    11.40    28.00   1.80       3.40       4.60  11.40   3.60        13.00            4.20           2.80        4.80       1.00           4.40        1.60     1.20         4.20
275              1.00    0.80         12.00     7.40    18.80   2.00       2.00       2.80  10.00   3.60         9.80            1.80           4.20        3.40       1.00           3.20        0.80     1.00         3.60
280              1.60    1.00          6.40     8.00    17.40   2.00       2.40       1.60   7.00   1.80         9.00            2.20           2.20        3.40       0.40           1.40        1.00     0.60         2.80
285              0.20    1.00         13.40     8.80    26.40   2.60       2.20       2.00  12.20   2.20        11.40            2.00           1.80        5.00       1.00           2.40        1.20     1.40         4.20
290              1.20    0.60         11.20     8.80    21.20   3.80       1.60       3.20   9.60   2.80        10.20            2.00           2.60        3.60       1.80           2.80        1.20     1.00         4.40
295              1.20    1.20         10.60     8.00    17.40   2.40       2.60       3.40  10.00   3.00         9.60            3.00           3.60        4.60       1.80           3.40        1.00     1.00         4.00
300              0.60    2.40         11.40     9.80    26.80   3.80       3.20       3.00   9.80   2.60        13.20            2.60           2.40        5.00       0.60           2.60        0.60     1.00         5.60
305              1.20    0.80         14.00     9.00    21.40   3.40       2.20       3.00  12.20   3.60        10.20            2.20           3.40        5.20       1.80           3.20        1.20     1.20         4.40
310              1.40    1.60         13.40     8.00    27.60   3.80       3.60       3.20  12.40   3.20         9.80            3.60           3.00        4.60       1.20           3.40        2.00     1.60         3.20
315              1.20    1.40         11.60    11.00    21.20   1.40       3.40       3.60  10.00   3.20        12.20            3.40           3.60        4.80       1.20           3.40        0.80     1.00         4.40
320              1.20    1.60          9.80     8.40    22.80   1.80       2.20       3.00   8.80   3.60        11.40            2.20           3.40        3.00       0.60           3.20        1.00     1.00         4.40
325              1.60    0.60         10.60    11.00    17.20   3.00       2.80       2.60   9.80   2.80        11.40            3.00           3.20        3.20       1.20           2.80        1.40     1.20         3.20
330              0.60    0.80          7.20     5.20    14.60   1.80       2.60       1.60   5.80   1.00         7.00            2.00           1.20        2.40       1.00           0.60        0.20     0.60         3.20
335              1.00    1.40          8.60     8.80    21.40   2.20       2.00       1.60   7.80   2.00        10.80            3.60           1.80        4.80       1.60           2.60        1.40     1.60         4.20
340              0.80    0.60          9.80     9.00    19.40   2.80       3.20       2.20  10.00   2.40         9.60            2.00           2.60        3.00       1.00           2.20        1.40     1.20         4.20
345              1.60    1.20         12.20     8.80    20.40   1.60       2.00       3.60   9.60   2.80         9.40            2.20           1.60        3.60       1.20           3.40        1.40     1.20         3.40
350              0.60    1.20         10.20     8.20    31.80   1.80       2.20       5.20   9.00   4.20        10.20            2.80           4.40        4.00       0.80           4.80        1.40     1.20         3.60
355              1.60    1.00         15.00    10.20    18.80   3.00       3.20       3.00  13.40   5.00        13.80            2.40           5.60        4.20       1.20           4.00        1.00     1.00         4.80
360              0.80    0.80         11.40     9.00    24.40   2.80       2.00       3.60  10.00   2.20        10.60            2.00           2.20        5.20       1.00           2.60        1.20     1.20         4.00
365              1.40    1.80         10.40    10.60    20.80   2.80       2.40       3.00  10.00   3.80        13.20            2.40           3.60        4.20       1.80           3.00        0.40     0.60         5.80
