Title: ECSA-b1588YfJDrDO54g77DE4xswFOxy4BlPn Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    b1588YfJDrDO54g77DE4xswFOxy4BlPn.19N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
185              0.40    0.20          6.00     4.80    10.60   1.20       1.80       2.20   4.60  1.20         6.80            1.40           1.00        2.60       1.60           2.00        0.60     0.60         2.60
190              1.20    0.60          6.20     5.00    13.20   1.60       1.60       1.40   6.00  2.60         5.80            2.00           2.20        2.80       1.20           1.80        0.80     0.80         2.00
195              0.60    1.00          3.60     4.80    10.00   0.40       1.40       1.20   3.20  1.00         5.00            1.60           1.20        2.20       0.20           1.00        0.40     0.40         1.80
200              0.80    0.80          4.60     4.20     9.00   1.40       1.60       1.40   4.20  1.20         5.20            1.00           1.40        0.80       0.40           1.20        0.40     0.40         2.00
205              0.40    0.60          6.80     5.00     9.80   1.00       1.00       1.20   7.00  1.40         5.40            0.80           1.40        2.60       1.00           1.40        0.60     0.40         2.20
210              0.80    0.80          3.80     2.60    11.40   0.80       0.80       1.40   2.60  0.80         4.20            0.80           1.00        2.00       0.20           0.80        0.40     0.40         1.60
215              0.40    1.00          6.00     4.60    12.60   0.60       0.60       2.80   4.60  2.60         3.80            0.80           2.80        1.00       0.40           3.20        2.40     2.60         1.40
220              1.00    0.80          7.20     7.40    13.60   1.40       1.40       1.40   5.00  2.20        10.00            1.80           2.00        2.40       0.00           1.60        1.00     0.80         3.00
225              1.00    0.40          4.00     5.60     8.00   1.20       2.00       1.40   4.20  1.20         5.20            1.60           1.20        2.00       0.40           1.00        0.40     0.40         2.40
230              1.00    0.00          5.00     3.40     8.20   1.20       1.20       1.00   4.40  1.00         4.80            1.40           1.00        1.80       1.20           1.20        0.20     0.20         2.00
235              0.20    1.00          3.80     3.80    10.20   0.60       0.60       1.20   3.40  1.20         4.80            0.60           1.00        2.60       0.20           1.20        0.40     0.40         1.60
240              0.60    0.40          7.00     5.20    10.40   1.60       1.20       1.40   6.60  1.20         5.40            1.00           1.00        2.00       0.60           1.80        0.80     0.80         1.80
245              1.20    0.40          5.00     4.80    14.60   1.60       1.40       1.60   5.60  1.80         6.00            1.60           2.00        1.60       1.00           1.20        0.60     0.60         1.80
250              0.80    1.20          8.80     6.60    19.60   2.40       1.60       2.40   6.60  2.60         8.60            2.40           2.20        4.40       1.40           2.60        0.40     0.60         4.40
255              0.20    1.00          6.20     6.00     8.80   1.40       2.20       0.60   5.40  1.00         7.20            1.00           1.80        2.60       1.00           0.80        0.80     1.20         3.60
260              0.20    0.40          5.40     5.20    13.80   1.40       1.20       2.20   4.60  1.40         5.40            1.60           1.20        2.00       1.20           1.80        1.00     0.60         2.20
265              1.20    1.00          7.40     5.80    14.20   1.80       2.00       2.40   7.40  1.60         7.00            2.20           1.20        3.60       0.40           1.60        0.60     0.80         1.80
270              0.80    1.20          7.80     5.60    11.40   0.80       1.00       0.80   6.80  2.20         6.40            0.60           2.00        2.20       0.60           2.00        0.80     0.40         3.00
275              0.40    1.40          4.80     4.20    13.40   1.00       1.40       2.20   4.20  1.20         5.40            1.20           1.80        3.40       0.40           1.80        0.60     0.80         2.00
280              0.60    0.80          5.40     4.80    12.60   2.20       1.40       1.80   4.80  2.00         5.80            1.80           2.00        1.40       0.40           1.60        0.20     0.00         1.80
285              1.20    0.00          6.40     4.80     7.40   2.20       1.40       0.80   4.20  1.60         5.20            1.60           1.60        1.00       0.60           1.20        1.40     1.40         1.40
290              0.60    0.20          5.00     5.20    10.40   1.00       1.80       0.80   5.20  0.40         6.40            1.80           0.60        1.40       0.20           0.60        0.60     0.60         2.40
295              0.60    0.60          7.80     4.60    19.80   1.60       2.20       3.00   7.00  2.20         5.80            2.20           1.60        2.60       0.60           2.60        0.60     1.00         2.20
300              1.00    0.40          8.60     8.00    13.80   1.00       1.80       2.80   8.00  3.40         7.40            1.80           3.20        3.20       1.40           3.20        1.60     1.40         2.20
305              0.60    1.20          7.00     6.60    17.20   2.60       1.40       1.80   7.00  1.80         7.80            1.20           1.80        3.00       0.80           1.80        0.40     0.40         3.60
310              1.40    0.60          7.80     4.60    12.40   2.20       2.60       1.80   7.20  2.00         7.60            2.80           2.40        2.80       0.60           1.80        0.20     0.00         2.20
315              0.00    0.80          6.60     4.40    11.40   1.40       1.20       1.60   5.40  1.60         4.60            0.60           1.60        2.20       1.00           1.80        0.40     0.80         2.00
320              0.60    0.80          8.00     6.80    18.40   1.60       1.00       2.80   7.20  2.20         8.80            1.40           2.40        2.60       0.60           2.20        1.40     1.00         3.60
325              1.00    1.00          7.00     6.80    14.60   1.80       2.20       1.80   6.40  1.60         7.40            2.40           1.60        2.60       0.40           1.80        1.00     1.00         2.80
330              1.40    0.20          8.60     7.20    14.80   1.80       3.20       1.00   7.80  2.00         8.20            2.60           2.20        2.40       1.00           1.80        0.40     0.40         2.80
335              0.60    0.40          8.40     4.20    12.60   2.00       1.00       1.80   7.80  1.20         6.40            1.00           1.00        3.40       0.20           1.00        0.80     1.00         2.40
340              0.20    0.60          7.00     4.60    11.20   2.40       0.20       1.40   5.80  1.60         5.00            0.20           1.60        0.60       0.00           2.00        0.60     0.60         1.40
345              1.00    0.60          5.60     5.40    11.40   1.00       1.60       2.20   6.20  2.20         5.80            1.80           2.20        2.80       1.20           2.00        0.60     0.40         2.60
350              0.40    0.40          5.00     4.00    12.60   1.80       1.20       2.80   4.60  2.00         6.00            1.20           1.80        1.60       0.80           2.60        0.20     0.40         3.00
355              0.60    0.60          5.60     5.60    16.80   1.20       0.80       1.80   4.00  2.40         8.20            1.00           1.80        3.80       1.60           2.00        0.60     0.60         2.80
360              0.80    1.60          8.20     7.20    13.80   1.60       2.00       1.80   8.20  2.00         8.00            1.80           2.80        4.00       1.40           1.80        0.80     0.80         4.60
365              0.40    0.40          6.80     4.80    12.00   1.20       1.00       2.60   5.00  2.00         5.40            1.00           1.80        2.80       0.60           2.40        0.60     0.40         2.00
370              0.60    1.80          5.20     4.40    12.80   1.40       1.40       1.80   4.80  3.00         5.80            1.80           2.40        2.40       0.80           2.40        0.20     0.60         2.60
375              0.80    0.60          6.20     6.00    15.00   1.00       1.80       1.80   6.60  1.20         6.40            1.40           1.60        2.80       0.40           1.60        1.80     1.40         2.40
380              0.80    1.00          7.20     6.20    13.60   1.40       1.00       2.20   4.60  2.20         8.40            1.40           2.40        2.80       0.80           1.80        0.80     1.00         2.80
385              0.80    1.20          6.00     7.20    17.40   2.00       2.40       1.80   6.00  1.80         9.20            2.00           1.60        3.20       0.60           2.00        1.40     1.60         3.60
390              0.80    0.40          9.20     7.40    14.00   1.00       0.60       1.60   7.00  2.00         6.00            0.80           2.00        4.00       2.20           1.80        1.40     1.00         3.60
